TripCode,Time,SampleID,Depth,Nitrate,Phosphate,Silicate
MAI20091013,10/13/2009,MAI20091013_30,30,1.7,0.32,0.2
MAI20091013,10/13/2009,MAI20091013_40,40,2.5,0.37,0.4
MAI20091013,10/13/2009,MAI20091013_50,50,2.7,0.38,0.5
MAI20091013,10/13/2009,MAI20091013_60,60,2.8,0.39,0.5
MAI20091013,10/13/2009,MAI20091013_75,75,3.0,0.4,0.6
MAI20091013,10/13/2009,MAI20091013_80,85,3.0,0.41,0.6
MAI20091111,11/11/2009,MAI20091111_0,0,0.1,0.1,0.1
MAI20091111,11/11/2009,MAI20091111_10,10,0.0,0.08,0.3
MAI20091111,11/11/2009,MAI20091111_20,20,0.0,0.1,0.5
MAI20091111,11/11/2009,MAI20091111_30,30,0.6,0.14,0.4
MAI20091111,11/11/2009,MAI20091111_40,40,1.5,2.3,0.4
MAI20091111,11/11/2009,MAI20091111_50,50,3.1,0.29,0.7
MAI20091111,11/11/2009,MAI20091111_60,60,3.7,0.31,0.9
MAI20091111,11/11/2009,MAI20091111_75,75,4.9,0.36,1.4
MAI20091111,11/11/2009,MAI20091111_80,85,5.0,0.4,1.7
MAI20091207,12/7/2009,MAI20091207_0,0,0.1,0.13,0.3
MAI20091207,12/7/2009,MAI20091207_10,10,0.0,0.12,0.0
MAI20091207,12/7/2009,MAI20091207_20,20,0.1,0.12,0.0
MAI20091207,12/7/2009,MAI20091207_30,30,0.1,0.14,0.0
MAI20091207,12/7/2009,MAI20091207_40,40,2.2,0.24,0.6
MAI20091207,12/7/2009,MAI20091207_50,50,3.0,0.28,0.7
MAI20091207,12/7/2009,MAI20091207_60,60,3.7,0.31,0.9
MAI20091207,12/7/2009,MAI20091207_75,75,5.4,0.43,1.7
MAI20091207,12/7/2009,MAI20091207_80,85,5.4,0.34,1.7
MAI20100120,1/21/2010,MAI20100120_0,0,0.0,0.1,0.5
MAI20100120,1/21/2010,MAI20100120_10,10,0.1,0.11,0.3
MAI20100120,1/21/2010,MAI20100120_20,20,0.0,0.12,0.3
MAI20100120,1/21/2010,MAI20100120_30,30,0.0,0.12,0.3
MAI20100120,1/21/2010,MAI20100120_40,40,0.0,0.11,0.3
MAI20100120,1/21/2010,MAI20100120_50,50,0.0,0.11,0.2
MAI20100120,1/21/2010,MAI20100120_60,60,0.1,0.12,0.2
MAI20100120,1/21/2010,MAI20100120_75,75,0.4,0.15,0.3
MAI20100120,1/21/2010,MAI20100120_80,85,1.0,0.19,0.5
MAI20100330,3/30/2010,MAI20100330_0,0,0.7,0.17,0.8
MAI20100330,3/30/2010,MAI20100330_10,10,0.7,0.17,0.8
MAI20100330,3/30/2010,MAI20100330_20,20,0.8,0.28,0.8
MAI20100330,3/30/2010,MAI20100330_30,30,1.0,0.19,0.9
MAI20100330,3/30/2010,MAI20100330_40,40,2.8,0.31,1.4
MAI20100330,3/30/2010,MAI20100330_50,50,5.3,0.49,2.0
MAI20100330,3/30/2010,MAI20100330_60,60,5.3,0.46,1.9
MAI20100330,3/30/2010,MAI20100330_75,75,6.3,0.52,2.2
MAI20100330,3/30/2010,MAI20100330_84,85,7.5,0.59,2.7
MAI20100505,5/5/2010,MAI20100505_0,0,1.5,0.25,1.2
MAI20100505,5/5/2010,MAI20100505_10,10,1.5,0.25,1.2
MAI20100505,5/5/2010,MAI20100505_20,20,1.5,0.25,1.2
MAI20100505,5/5/2010,MAI20100505_30,30,1.6,0.25,1.2
MAI20100505,5/5/2010,MAI20100505_40,40,1.5,0.25,1.3
MAI20100505,5/5/2010,MAI20100505_50,50,1.5,0.26,1.4
MAI20100505,5/5/2010,MAI20100505_60,60,1.5,0.25,1.2
MAI20100505,5/5/2010,MAI20100505_75,75,1.5,0.25,1.2
MAI20100505,5/5/2010,MAI20100505_80,85,1.5,0.25,1.2
MAI20100527,5/27/2010,MAI20100527_0,0,3.5,0.28,1.0
MAI20100527,5/27/2010,MAI20100527_10,10,3.5,0.29,1.0
MAI20100527,5/27/2010,MAI20100527_20,20,3.7,0.29,1.0
MAI20100527,5/27/2010,MAI20100527_30,30,3.6,0.28,1.0
MAI20100527,5/27/2010,MAI20100527_40,40,3.6,0.29,1.0
MAI20100527,5/27/2010,MAI20100527_50,50,3.6,0.3,1.0
MAI20100527,5/27/2010,MAI20100527_60,60,3.6,0.3,1.0
MAI20100527,5/27/2010,MAI20100527_75,75,3.6,0.3,1.0
MAI20100527,5/27/2010,MAI20100527_80,85,3.6,0.3,1.0
MAI20100615,6/15/2010,MAI20100615_0,0,2.9,0.23,0.7
MAI20100615,6/15/2010,MAI20100615_10,10,2.8,0.23,0.7
MAI20100615,6/15/2010,MAI20100615_20,20,2.9,0.23,0.7
MAI20100615,6/15/2010,MAI20100615_30,30,2.9,0.23,0.7
MAI20100615,6/15/2010,MAI20100615_40,40,2.8,0.23,0.7
MAI20100615,6/15/2010,MAI20100615_50,50,2.8,0.23,0.7
MAI20100615,6/15/2010,MAI20100615_60,60,2.9,0.24,0.8
MAI20100615,6/15/2010,MAI20100615_75,75,3.0,0.24,0.8
MAI20100615,6/15/2010,MAI20100615_80,85,3.2,0.26,0.9
MAI20100722,7/22/2010,MAI20100722_0,0,3.4,0.29,0.7
MAI20100722,7/22/2010,MAI20100722_10,10,3.4,0.29,0.7
MAI20100722,7/22/2010,MAI20100722_20,20,3.3,0.29,0.7
MAI20100722,7/22/2010,MAI20100722_30,30,3.4,0.29,0.7
MAI20100722,7/22/2010,MAI20100722_40,40,3.4,0.3,0.7
MAI20100722,7/22/2010,MAI20100722_50,50,3.4,0.29,0.8
MAI20100722,7/22/2010,MAI20100722_60,60,3.6,0.3,0.8
MAI20100722,7/22/2010,MAI20100722_75,75,3.5,0.31,0.8
MAI20100722,7/22/2010,MAI20100722_80,85,3.7,0.31,0.9
MAI20101001,10/1/2010,MAI20101001_0,0,4.4,0.39,1.1
MAI20101001,10/1/2010,MAI20101001_10,10,4.4,0.39,1.1
MAI20101001,10/1/2010,MAI20101001_20,20,4.4,0.38,1.0
MAI20101001,10/1/2010,MAI20101001_30,30,4.3,0.4,1.0
MAI20101001,10/1/2010,MAI20101001_40,40,4.4,0.4,1.0
MAI20101001,10/1/2010,MAI20101001_50,50,4.3,0.38,0.9
MAI20101001,10/1/2010,MAI20101001_60,60,3.9,0.37,0.9
MAI20101001,10/1/2010,MAI20101001_75,75,3.9,0.38,0.9
MAI20101001,10/1/2010,MAI20101001_80,85,3.6,0.36,0.9
MAI20101027,10/27/2010,MAI20101027_0,0,1.7,0.3,0.1
MAI20101027,10/27/2010,MAI20101027_10,10,1.6,0.28,0.0
MAI20101027,10/27/2010,MAI20101027_20,20,1.9,0.25,0.0
MAI20101027,10/27/2010,MAI20101027_30,30,3.7,0.36,0.6
MAI20101027,10/27/2010,MAI20101027_40,40,4.0,0.39,0.9
MAI20101027,10/27/2010,MAI20101027_50,50,4.2,0.41,1.2
MAI20101027,10/27/2010,MAI20101027_60,60,4.3,0.41,1.3
MAI20101027,10/27/2010,MAI20101027_75,75,4.4,0.41,1.4
MAI20101027,10/27/2010,MAI20101027_80,85,4.4,0.4,1.5
MAI20101214,12/14/2010,MAI20101214_0,0,0.0,0.17,0.0
MAI20101214,12/14/2010,MAI20101214_10,10,0.0,0.18,0.0
MAI20101214,12/14/2010,MAI20101214_20,20,0.1,0.18,0.0
MAI20101214,12/14/2010,MAI20101214_30,30,0.7,0.22,0.1
MAI20101214,12/14/2010,MAI20101214_40,40,1.9,0.3,0.4
MAI20101214,12/14/2010,MAI20101214_50,50,3.1,0.36,0.8
MAI20101214,12/14/2010,MAI20101214_60,60,5.4,0.52,1.5
MAI20101214,12/14/2010,MAI20101214_75,75,5.8,0.52,1.7
MAI20101214,12/14/2010,MAI20101214_80,85,6.2,0.55,2.0
MAI20110118,1/19/2011,MAI20110118_0,0,0.1,0.13,0.5
MAI20110118,1/19/2011,MAI20110118_10,10,0.0,0.13,0.5
MAI20110118,1/19/2011,MAI20110118_20,20,0.8,0.21,0.7
MAI20110118,1/19/2011,MAI20110118_30,30,2.9,0.32,1.1
MAI20110118,1/19/2011,MAI20110118_40,40,3.0,0.35,1.1
MAI20110118,1/19/2011,MAI20110118_50,50,3.1,0.34,1.1
MAI20110118,1/19/2011,MAI20110118_60,60,3.2,0.34,1.1
MAI20110118,1/19/2011,MAI20110118_75,75,6.4,0.53,1.7
MAI20110118,1/19/2011,MAI20110118_82,85,6.8,0.57,1.8
MAI20110223,2/23/2011,MAI20110223_0,0,0.3,0.16,0.5
MAI20110223,2/23/2011,MAI20110223_10,10,0.5,0.17,0.5
MAI20110223,2/23/2011,MAI20110223_20,20,0.6,0.16,0.5
MAI20110223,2/23/2011,MAI20110223_30,30,0.6,0.17,0.5
MAI20110223,2/23/2011,MAI20110223_40,40,0.8,0.18,0.6
MAI20110223,2/23/2011,MAI20110223_50,50,1.0,0.2,0.6
MAI20110223,2/23/2011,MAI20110223_60,60,1.6,0.24,0.8
MAI20110223,2/23/2011,MAI20110223_75,75,2.1,0.28,0.9
MAI20110223,2/23/2011,MAI20110223_82,85,2.3,0.3,1.0
MAI20110328,3/29/2011,MAI20110328_0,0,1.3,0.18,0.6
MAI20110328,3/29/2011,MAI20110328_10,10,1.3,0.22,0.7
MAI20110328,3/29/2011,MAI20110328_20,20,1.2,0.19,0.7
MAI20110328,3/29/2011,MAI20110328_30,30,1.2,0.17,0.7
MAI20110328,3/29/2011,MAI20110328_40,40,1.1,0.2,0.6
MAI20110328,3/29/2011,MAI20110328_50,50,1.4,0.22,0.7
MAI20110328,3/29/2011,MAI20110328_60,60,1.6,0.19,0.8
MAI20110328,3/29/2011,MAI20110328_75,75,3.8,0.32,1.1
MAI20110328,3/29/2011,MAI20110328_82,85,5.1,0.38,1.5
MAI20110407,4/7/2011,MAI20110407_0,0,1.8,0.24,1.1
MAI20110407,4/7/2011,MAI20110407_10,10,1.6,0.22,0.7
MAI20110407,4/7/2011,MAI20110407_20,20,1.6,0.24,0.7
MAI20110407,4/7/2011,MAI20110407_30,30,1.6,0.22,0.6
MAI20110407,4/7/2011,MAI20110407_40,40,2.2,0.19,0.6
MAI20110407,4/7/2011,MAI20110407_50,50,2.8,0.27,0.6
MAI20110407,4/7/2011,MAI20110407_60,60,,,
MAI20110407,4/7/2011,MAI20110407_75,75,2.9,0.3,0.6
MAI20110407,4/7/2011,MAI20110407_82,85,3.0,0.3,0.7
MAI20110531,5/31/2011,MAI20110531_0,0,3.0,0.34,0.4
MAI20110531,5/31/2011,MAI20110531_10,10,3.6,0.34,0.7
MAI20110531,5/31/2011,MAI20110531_20,20,3.6,0.34,0.7
MAI20110531,5/31/2011,MAI20110531_30,30,3.6,0.29,0.6
MAI20110531,5/31/2011,MAI20110531_40,40,3.6,0.33,0.6
MAI20110531,5/31/2011,MAI20110531_50,50,3.7,0.35,0.7
MAI20110531,5/31/2011,MAI20110531_60,60,4.0,0.33,0.8
MAI20110531,5/31/2011,MAI20110531_75,75,3.9,0.35,0.8
MAI20110531,5/31/2011,MAI20110531_82,85,4.0,0.35,1.1
MAI20110725,7/25/2011,MAI20110725_0,0,4.1,0.35,0.7
MAI20110725,7/25/2011,MAI20110725_10,10,4.0,0.34,0.6
MAI20110725,7/25/2011,MAI20110725_20,20,4.0,0.35,0.7
MAI20110725,7/25/2011,MAI20110725_30,30,3.8,0.38,0.6
MAI20110725,7/25/2011,MAI20110725_40,40,3.7,0.32,0.6
MAI20110725,7/25/2011,MAI20110725_50,50,3.7,0.33,0.6
MAI20110725,7/25/2011,MAI20110725_60,60,3.5,0.32,0.5
MAI20110725,7/25/2011,MAI20110725_75,75,3.5,0.31,0.5
MAI20110725,7/25/2011,MAI20110725_85,85,3.4,0.31,0.5
MAI20110812,8/12/2011,MAI20110812_0,0,4.0,0.36,0.5
MAI20110812,8/12/2011,MAI20110812_10,10,3.9,0.35,0.4
MAI20110812,8/12/2011,MAI20110812_20,20,4.0,0.34,0.4
MAI20110812,8/12/2011,MAI20110812_30,30,4.2,0.36,0.5
MAI20110812,8/12/2011,MAI20110812_40,40,4.0,0.34,0.5
MAI20110812,8/12/2011,MAI20110812_50,50,4.2,0.37,0.7
MAI20110812,8/12/2011,MAI20110812_60,60,4.0,0.35,0.4
MAI20110812,8/12/2011,MAI20110812_75,75,4.2,0.36,0.6
MAI20110812,8/12/2011,MAI20110812_85,85,4.1,0.36,0.5
MAI20111005,10/5/2011,MAI20111005_0,0,3.5,0.34,1.1
MAI20111005,10/5/2011,MAI20111005_10,10,3.6,0.35,1.1
MAI20111005,10/5/2011,MAI20111005_20,20,3.8,0.36,1.2
MAI20111005,10/5/2011,MAI20111005_30,30,3.9,0.37,1.2
MAI20111005,10/5/2011,MAI20111005_40,40,3.9,0.52,1.4
MAI20111005,10/5/2011,MAI20111005_50,50,3.9,0.4,1.3
MAI20111005,10/5/2011,MAI20111005_60,60,3.1,0.34,1.0
MAI20111005,10/5/2011,MAI20111005_75,75,2.7,0.32,0.9
MAI20111005,10/5/2011,MAI20111005_85,85,2.6,0.31,0.9
MAI20111026,10/26/2011,MAI20111026_0,0,0.1,0.18,0.1
MAI20111026,10/26/2011,MAI20111026_10,10,0.1,0.44,0.2
MAI20111026,10/26/2011,MAI20111026_20,20,0.2,0.17,0.1
MAI20111026,10/26/2011,MAI20111026_30,30,0.3,0.18,0.2
MAI20111026,10/26/2011,MAI20111026_40,40,0.5,0.2,0.3
MAI20111026,10/26/2011,MAI20111026_50,50,0.4,0.19,0.2
MAI20111026,10/26/2011,MAI20111026_60,60,0.6,0.21,0.3
MAI20111026,10/26/2011,MAI20111026_75,75,0.7,0.22,0.3
MAI20111026,10/26/2011,MAI20111026_82,85,1.3,0.25,0.5
MAI20111214,12/15/2011,MAI20111214_0,0,0.0,0.12,0.4
MAI20111214,12/15/2011,MAI20111214_10,10,0.0,0.11,0.4
MAI20111214,12/15/2011,MAI20111214_20,20,0.0,0.11,0.5
MAI20111214,12/15/2011,MAI20111214_30,30,0.0,0.13,0.5
MAI20111214,12/15/2011,MAI20111214_40,40,0.6,0.18,0.7
MAI20111214,12/15/2011,MAI20111214_50,50,3.2,0.3,2.0
MAI20111214,12/15/2011,MAI20111214_60,60,3.8,0.35,1.3
MAI20111214,12/15/2011,MAI20111214_75,75,4.6,0.37,1.7
MAI20111214,12/15/2011,MAI20111214_82,85,4.8,0.43,1.7
MAI20120119,1/19/2012,MAI20120119_0,0,0.0,0.08,0.3
MAI20120119,1/19/2012,MAI20120119_10,10,0.0,0.08,0.3
MAI20120119,1/19/2012,MAI20120119_20,20,0.1,0.08,0.3
MAI20120119,1/19/2012,MAI20120119_30,30,0.2,0.09,0.3
MAI20120119,1/19/2012,MAI20120119_40,40,0.3,0.1,0.3
MAI20120119,1/19/2012,MAI20120119_50,50,0.5,0.11,0.4
MAI20120119,1/19/2012,MAI20120119_60,60,0.8,0.14,0.5
MAI20120119,1/19/2012,MAI20120119_75,75,2.2,0.24,0.9
MAI20120119,1/19/2012,MAI20120119_82,85,2.8,0.27,1.1
MAI20120222,2/22/2012,MAI20120222_0,0,0.0,0.05,0.2
MAI20120222,2/22/2012,MAI20120222_10,10,0.0,0.06,0.2
MAI20120222,2/22/2012,MAI20120222_20,20,0.0,0.07,0.3
MAI20120222,2/22/2012,MAI20120222_30,30,0.6,0.11,0.4
MAI20120222,2/22/2012,MAI20120222_40,40,0.9,0.14,0.6
MAI20120222,2/22/2012,MAI20120222_50,50,5.0,0.37,1.8
MAI20120222,2/22/2012,MAI20120222_60,60,8.1,0.53,2.8
MAI20120222,2/22/2012,MAI20120222_75,75,9.2,0.65,3.3
MAI20120222,2/22/2012,MAI20120222_82,85,9.5,0.66,3.5
MAI20120326,3/27/2012,MAI20120326_0,0,0.1,0.1,0.0
MAI20120326,3/27/2012,MAI20120326_10,10,0.1,0.1,0.0
MAI20120326,3/27/2012,MAI20120326_20,20,0.2,0.1,0.0
MAI20120326,3/27/2012,MAI20120326_30,30,0.2,0.09,0.0
MAI20120326,3/27/2012,MAI20120326_40,40,0.9,0.14,0.1
MAI20120326,3/27/2012,MAI20120326_50,50,1.6,0.19,0.3
MAI20120326,3/27/2012,MAI20120326_60,60,2.5,0.23,0.6
MAI20120326,3/27/2012,MAI20120326_75,75,3.3,0.3,0.9
MAI20120326,3/27/2012,MAI20120326_82,85,5.7,0.45,1.9
MAI20120412,4/12/2012,MAI20120412_0,0,1.6,0.22,0.6
MAI20120412,4/12/2012,MAI20120412_10,10,1.6,0.22,0.6
MAI20120412,4/12/2012,MAI20120412_20,20,1.7,0.22,0.6
MAI20120412,4/12/2012,MAI20120412_30,30,1.6,0.22,0.6
MAI20120412,4/12/2012,MAI20120412_40,40,1.7,0.24,0.6
MAI20120412,4/12/2012,MAI20120412_50,50,1.7,0.22,0.6
MAI20120412,4/12/2012,MAI20120412_60,60,1.7,0.22,0.6
MAI20120412,4/12/2012,MAI20120412_75,75,1.7,0.23,0.6
MAI20120412,4/12/2012,MAI20120412_82,85,1.7,0.24,0.6
MAI20120524,5/24/2012,MAI20120524_0,0,2.1,0.12,2.0
MAI20120524,5/24/2012,MAI20120524_10,10,2.1,0.12,1.8
MAI20120524,5/24/2012,MAI20120524_20,20,2.1,0.12,1.6
MAI20120524,5/24/2012,MAI20120524_30,30,2.1,0.13,1.6
MAI20120524,5/24/2012,MAI20120524_40,40,2.2,0.11,1.7
MAI20120524,5/24/2012,MAI20120524_50,50,2.1,0.12,1.8
MAI20120524,5/24/2012,MAI20120524_60,60,2.1,0.11,1.8
MAI20120524,5/24/2012,MAI20120524_75,75,2.0,0.15,1.9
MAI20120524,5/24/2012,MAI20120524_82,85,2.0,0.13,1.9
MAI20120621,6/21/2012,MAI20120621_0,0,2.6,0.15,2.0
MAI20120621,6/21/2012,MAI20120621_10,10,2.6,0.16,1.7
MAI20120621,6/21/2012,MAI20120621_20,20,2.7,0.13,2.0
MAI20120621,6/21/2012,MAI20120621_30,30,2.7,0.14,1.9
MAI20120621,6/21/2012,MAI20120621_40,40,2.6,0.16,2.0
MAI20120621,6/21/2012,MAI20120621_50,50,2.6,0.15,1.9
MAI20120621,6/21/2012,MAI20120621_60,60,2.6,0.17,1.9
MAI20120621,6/21/2012,MAI20120621_75,75,2.6,0.15,1.9
MAI20120621,6/21/2012,MAI20120621_82,85,2.5,0.16,2.1
MAI20120724,7/24/2012,MAI20120724_0,0,2.9,0.17,1.8
MAI20120724,7/24/2012,MAI20120724_10,10,2.9,0.16,1.7
MAI20120724,7/24/2012,MAI20120724_20,20,2.9,0.15,1.8
MAI20120724,7/24/2012,MAI20120724_30,30,2.9,0.16,1.8
MAI20120724,7/24/2012,MAI20120724_40,40,2.9,0.16,1.8
MAI20120724,7/24/2012,MAI20120724_50,50,2.9,0.16,1.8
MAI20120724,7/24/2012,MAI20120724_60,60,2.9,0.16,1.8
MAI20120724,7/24/2012,MAI20120724_75,75,2.9,0.16,1.8
MAI20120724,7/24/2012,MAI20120724_82,85,3.0,0.17,1.8
MAI20120820,8/20/2012,MAI20120820_0,0,3.1,0.33,0.8
MAI20120820,8/20/2012,MAI20120820_10,10,3.1,0.28,0.8
MAI20120820,8/20/2012,MAI20120820_20,20,3.1,0.28,0.8
MAI20120820,8/20/2012,MAI20120820_30,30,3.1,0.3,0.8
MAI20120820,8/20/2012,MAI20120820_40,40,3.1,0.34,0.7
MAI20120820,8/20/2012,MAI20120820_50,50,3.2,0.32,0.8
MAI20120820,8/20/2012,MAI20120820_60,60,3.3,0.33,0.8
MAI20120820,8/20/2012,MAI20120820_75,75,3.3,0.34,0.8
MAI20120820,8/20/2012,MAI20120820_82,85,3.2,0.32,0.8
MAI20121002,10/2/2012,MAI20121002_0,0,4.6,0.46,1.2
MAI20121002,10/2/2012,MAI20121002_10,10,4.7,0.44,1.1
MAI20121002,10/2/2012,MAI20121002_20,20,3.9,0.4,1.1
MAI20121002,10/2/2012,MAI20121002_30,30,3.4,0.36,0.8
MAI20121002,10/2/2012,MAI20121002_40,40,3.8,0.41,0.9
MAI20121002,10/2/2012,MAI20121002_50,50,4.0,0.4,0.9
MAI20121002,10/2/2012,MAI20121002_60,60,4.0,0.41,1.0
MAI20121002,10/2/2012,MAI20121002_75,75,4.1,0.41,1.0
MAI20121002,10/2/2012,MAI20121002_82,85,4.5,0.43,1.0
MAI20121017,10/18/2012,MAI20121017_0,0,2.0,0.33,0.0
MAI20121017,10/18/2012,MAI20121017_10,10,2.0,0.33,0.0
MAI20121017,10/18/2012,MAI20121017_20,20,2.2,0.33,0.1
MAI20121017,10/18/2012,MAI20121017_30,30,2.4,0.37,0.1
MAI20121017,10/18/2012,MAI20121017_40,40,2.9,0.39,0.2
MAI20121017,10/18/2012,MAI20121017_50,50,3.8,0.45,0.5
MAI20121017,10/18/2012,MAI20121017_60,60,5.2,0.51,1.0
MAI20121017,10/18/2012,MAI20121017_75,75,5.3,0.54,1.0
MAI20121017,10/18/2012,MAI20121017_85,85,5.2,0.54,1.1
MAI20121112,11/13/2012,MAI20121112_0,0,0.5,0.25,0.8
MAI20121112,11/13/2012,MAI20121112_10,10,0.6,0.26,0.9
MAI20121112,11/13/2012,MAI20121112_20,20,0.6,0.26,0.9
MAI20121112,11/13/2012,MAI20121112_30,30,0.7,0.27,1.0
MAI20121112,11/13/2012,MAI20121112_40,40,0.9,0.29,1.1
MAI20121112,11/13/2012,MAI20121112_50,50,1.4,0.31,1.0
MAI20121112,11/13/2012,MAI20121112_60,60,2.9,0.42,1.4
MAI20121112,11/13/2012,MAI20121112_75,75,4.3,0.51,2.0
MAI20121112,11/13/2012,MAI20121112_82,85,4.6,0.44,2.1
MAI20130129,1/30/2013,MAI20130129_0,0,0.0,0.18,0.4
MAI20130129,1/30/2013,MAI20130129_10,10,0.0,0.21,0.4
MAI20130129,1/30/2013,MAI20130129_20,20,0.0,0.21,0.5
MAI20130129,1/30/2013,MAI20130129_30,30,0.0,0.2,0.5
MAI20130129,1/30/2013,MAI20130129_40,40,0.0,0.19,0.5
MAI20130129,1/30/2013,MAI20130129_50,50,0.0,0.29,0.5
MAI20130129,1/30/2013,MAI20130129_60,60,0.0,0.2,0.4
MAI20130129,1/30/2013,MAI20130129_75,75,0.3,0.3,0.6
MAI20130129,1/30/2013,MAI20130129_82,85,2.4,0.42,1.3
MAI20130214,2/14/2013,MAI20130214_0,0,0.0,0.2,0.6
MAI20130214,2/14/2013,MAI20130214_10,10,0.1,0.28,0.4
MAI20130214,2/14/2013,MAI20130214_20,20,0.0,0.22,0.7
MAI20130214,2/14/2013,MAI20130214_30,30,0.1,0.24,0.6
MAI20130214,2/14/2013,MAI20130214_40,40,0.3,0.26,0.8
MAI20130214,2/14/2013,MAI20130214_50,50,0.4,0.27,0.5
MAI20130214,2/14/2013,MAI20130214_60,60,1.0,0.31,0.7
MAI20130214,2/14/2013,MAI20130214_75,75,2.8,0.39,1.1
MAI20130214,2/14/2013,MAI20130214_82,85,3.3,0.42,1.4
MAI20130313,3/14/2013,MAI20130313_0,0,0.0,0.2,0.5
MAI20130313,3/14/2013,MAI20130313_10,10,0.0,0.2,0.5
MAI20130313,3/14/2013,MAI20130313_20,20,0.0,0.19,0.5
MAI20130313,3/14/2013,MAI20130313_30,30,0.0,0.19,0.5
MAI20130313,3/14/2013,MAI20130313_40,40,0.0,0.19,0.5
MAI20130313,3/14/2013,MAI20130313_50,50,3.4,0.43,1.6
MAI20130313,3/14/2013,MAI20130313_60,60,3.6,0.43,1.4
